Date,Positive Total,Positive New,Probable Total,Probable New
6/1/2020,97291,326,3514,3514
6/2/2020,97539,248,3624,110
6/3/2020,97964,425,3628,4
6/4/2020,98376,412,3687,59
6/5/2020,98796,420,3761,74
6/6/2020,99301,505,3831,70
6/7/2020,99562,261,3874,43
6/8/2020,99755,193,3871,0
6/9/2020,99955,200,3934,63
6/10/2020,100158,203,3998,64
6/11/2020,100504,354,4163,165
6/12/2020,100811,307,4248,85
6/13/2020,101070,259,4325,77
6/14/2020,101276,206,4327,2
6/15/2020,101334,58,4356,29
6/16/2020,101474,140,4411,55
6/17/2020,101654,180,4497,86
